6.900000000000000000e+02,9.830000000000000000e+02,9.650000000000000000e+02,9.370000000000000000e+02,8.790000000000000000e+02,9.340000000000000000e+02,9.670000000000000000e+02,9.850000000000000000e+02,9.870000000000000000e+02,9.320000000000000000e+02
9.690000000000000000e+02,3.940000000000000000e+02,1.002000000000000000e+03,9.540000000000000000e+02,9.640000000000000000e+02,8.970000000000000000e+02,1.018000000000000000e+03,1.020000000000000000e+03,8.780000000000000000e+02,1.065000000000000000e+03
9.330000000000000000e+02,1.044000000000000000e+03,4.960000000000000000e+02,9.040000000000000000e+02,9.500000000000000000e+02,9.450000000000000000e+02,1.060000000000000000e+03,9.940000000000000000e+02,9.480000000000000000e+02,9.990000000000000000e+02
9.680000000000000000e+02,1.009000000000000000e+03,9.310000000000000000e+02,6.230000000000000000e+02,9.390000000000000000e+02,9.320000000000000000e+02,1.033000000000000000e+03,8.890000000000000000e+02,9.810000000000000000e+02,9.520000000000000000e+02
9.310000000000000000e+02,9.720000000000000000e+02,9.080000000000000000e+02,8.960000000000000000e+02,3.140000000000000000e+02,8.710000000000000000e+02,8.860000000000000000e+02,9.240000000000000000e+02,9.780000000000000000e+02,7.770000000000000000e+02
9.150000000000000000e+02,9.800000000000000000e+02,1.006000000000000000e+03,8.680000000000000000e+02,8.120000000000000000e+02,6.550000000000000000e+02,9.360000000000000000e+02,8.760000000000000000e+02,9.960000000000000000e+02,9.270000000000000000e+02
7.800000000000000000e+02,1.015000000000000000e+03,8.570000000000000000e+02,8.690000000000000000e+02,8.330000000000000000e+02,8.820000000000000000e+02,7.790000000000000000e+02,8.670000000000000000e+02,1.003000000000000000e+03,9.340000000000000000e+02
8.670000000000000000e+02,1.056000000000000000e+03,9.600000000000000000e+02,8.800000000000000000e+02,9.000000000000000000e+02,9.630000000000000000e+02,9.400000000000000000e+02,5.440000000000000000e+02,9.620000000000000000e+02,8.650000000000000000e+02
1.000000000000000000e+03,9.290000000000000000e+02,9.530000000000000000e+02,9.250000000000000000e+02,1.021000000000000000e+03,9.680000000000000000e+02,9.830000000000000000e+02,1.005000000000000000e+03,6.290000000000000000e+02,9.800000000000000000e+02
1.011000000000000000e+03,1.082000000000000000e+03,1.002000000000000000e+03,9.840000000000000000e+02,8.080000000000000000e+02,1.025000000000000000e+03,9.560000000000000000e+02,9.580000000000000000e+02,1.090000000000000000e+03,6.330000000000000000e+02
